,InceptionV3,AdvInceptionV3,Ens3AdvInceptionV3,Ens4AdvInceptionV3,InceptionV4,InceptionResnetV2,EnsAdvInceptionResnetV2,resnet_v2
InceptionV3,0.992,0.664,0.5589999999999999,0.585,0.765,0.7709999999999999,0.47700000000000004,0.747
InceptionV4,0.8540000000000001,0.684,0.6409999999999999,0.627,0.993,0.805,0.555,0.792
InceptionResnetV2,0.861,0.703,0.669,0.648,0.797,0.967,0.631,0.793
resnet_v2,0.843,0.7240000000000001,0.708,0.6920000000000001,0.81,0.81,0.649,0.98
