,InceptionV3,AdvInceptionV3,Ens3AdvInceptionV3,Ens4AdvInceptionV3,InceptionV4,InceptionResnetV2,EnsAdvInceptionResnetV2,resnet_v2
InceptionV3,1.0,0.258,0.248,0.21100000000000002,0.48100000000000004,0.445,0.138,0.39899999999999997
InceptionV4,0.6729999999999999,0.284,0.273,0.264,0.998,0.551,0.17600000000000002,0.47700000000000004
InceptionResnetV2,0.6659999999999999,0.316,0.312,0.266,0.61,0.987,0.21600000000000005,0.516
resnet_v2,0.649,0.37,0.368,0.336,0.588,0.582,0.229,0.993
