,InceptionV3,AdvInceptionV3,Ens3AdvInceptionV3,Ens4AdvInceptionV3,InceptionV4,InceptionResnetV2,EnsAdvInceptionResnetV2,resnet_v2
InceptionV3,1.0,0.138,0.13,0.131,0.415,0.36,0.062,0.336
InceptionV4,0.5820000000000001,0.172,0.18100000000000002,0.177,1.0,0.451,0.111,0.418
InceptionResnetV2,0.569,0.207,0.235,0.185,0.468,0.989,0.154,0.422
resnet_v2,0.46399999999999997,0.16399999999999998,0.196,0.177,0.38799999999999996,0.39,0.105,0.997
