,InceptionV3,AdvInceptionV3,Ens3AdvInceptionV3,Ens4AdvInceptionV3,InceptionV4,InceptionResnetV2,EnsAdvInceptionResnetV2,resnet_v2
InceptionV3,0.998,0.209,0.146,0.146,0.616,0.5670000000000001,0.063,0.486
InceptionV4,0.726,0.21,0.162,0.158,0.992,0.606,0.078,0.517
InceptionResnetV2,0.6990000000000001,0.249,0.227,0.184,0.614,0.971,0.12,0.52
resnet_v2,0.764,0.32299999999999995,0.278,0.254,0.6940000000000001,0.6890000000000001,0.149,0.9890000000000001
