,InceptionV3,AdvInceptionV3,Ens3AdvInceptionV3,Ens4AdvInceptionV3,InceptionV4,InceptionResnetV2,EnsAdvInceptionResnetV2,resnet_v2
InceptionV3,0.989,0.534,0.5710000000000001,0.542,0.8059999999999999,0.7759999999999999,0.414,0.6859999999999999
InceptionV4,0.931,0.77,0.8220000000000001,0.789,0.999,0.899,0.7559999999999999,0.846
InceptionResnetV2,0.937,0.866,0.779,0.774,0.922,0.983,0.726,0.9209999999999999
resnet_v2,0.964,0.9,0.855,0.837,0.945,0.949,0.802,0.994
