,InceptionV3,AdvInceptionV3,Ens3AdvInceptionV3,Ens4AdvInceptionV3,InceptionV4,InceptionResnetV2,EnsAdvInceptionResnetV2,resnet_v2
InceptionV3,0.995,0.095,0.08800000000000001,0.094,0.399,0.35,0.045,0.29
InceptionV4,0.48700000000000004,0.092,0.1,0.09699999999999999,0.985,0.35600000000000004,0.051,0.311
InceptionResnetV2,0.512,0.119,0.127,0.103,0.456,0.94,0.076,0.356
resnet_v2,0.511,0.149,0.165,0.15,0.429,0.444,0.087,0.9840000000000001
