,InceptionV3,AdvInceptionV3,Ens3AdvInceptionV3,Ens4AdvInceptionV3,InceptionV4,InceptionResnetV2,EnsAdvInceptionResnetV2,resnet_v2
InceptionV3,0.996,0.606,0.597,0.563,0.8490000000000001,0.8170000000000001,0.413,0.7609999999999999
InceptionV4,0.888,0.614,0.648,0.616,0.995,0.8440000000000001,0.509,0.763
InceptionResnetV2,0.887,0.705,0.732,0.671,0.861,0.993,0.622,0.824
resnet_v2,0.878,0.6920000000000001,0.721,0.679,0.823,0.841,0.5660000000000001,0.994
