,InceptionV3,AdvInceptionV3,Ens3AdvInceptionV3,Ens4AdvInceptionV3,InceptionV4,InceptionResnetV2,EnsAdvInceptionResnetV2,resnet_v2
InceptionV3,0.977,0.07400000000000001,0.048,0.063,0.24,0.214,0.022,0.17600000000000002
InceptionV4,0.358,0.071,0.066,0.07,0.982,0.24100000000000002,0.05,0.217
InceptionResnetV2,0.365,0.086,0.084,0.071,0.288,0.962,0.044,0.229
resnet_v2,0.32,0.09300000000000001,0.087,0.099,0.282,0.254,0.052000000000000005,0.9520000000000001
